Date,Price,Open,High,Low,Vol.,Change %
2021-08-03,4262.60,4262.60,4262.60,4262.60,,-1.42%
2021-08-02,4323.80,4323.80,4323.80,4323.80,,0.07%
2021-07-30,4320.60,4320.60,4320.60,4320.60,,-0.63%
2021-07-29,4347.80,4347.80,4347.80,4347.80,,1.56%
2021-07-28,4281.10,4281.10,4281.10,4281.10,,0.05%
2021-07-27,4278.90,4278.90,4278.90,4278.90,,-0.85%
2021-07-26,4315.40,4315.40,4315.40,4315.40,,2.14%
2021-07-23,4225.10,4225.10,4225.10,4225.10,,0.90%
2021-07-22,4187.60,4187.60,4187.60,4187.60,,1.19%
2021-07-21,4138.20,4138.20,4138.20,4138.20,,-0.12%
2021-07-20,4143.30,4143.30,4143.30,4143.30,,1.16%
2021-07-19,4095.90,4095.90,4095.90,4095.90,,-2.09%
2021-07-16,4183.50,4183.50,4183.50,4183.50,,-0.28%
2021-07-15,4195.30,4195.30,4195.30,4195.30,,1.16%
2021-07-14,4147.10,4147.10,4147.10,4147.10,,-0.59%
2021-07-13,4171.80,4171.80,4171.80,4171.80,,0.42%
2021-07-12,4154.40,4154.40,4154.40,4154.40,,-0.78%
2021-07-09,4187.00,4187.00,4187.00,4187.00,,1.98%
2021-07-08,4105.90,4105.90,4105.90,4105.90,,-1.31%
2021-07-07,4160.40,4160.40,4160.40,4160.40,,0.76%
2021-07-06,4129.10,4129.10,4129.10,4129.10,,-1.56%
2021-07-05,4194.60,4194.60,4194.60,4194.60,,0.75%
2021-07-02,4163.30,4163.30,4163.30,4163.30,,0.94%
2021-07-01,4124.70,4124.70,4124.70,4124.70,,-0.65%
2021-06-30,4151.50,4151.50,4151.50,4151.50,,-0.13%
2021-06-29,4156.80,4156.80,4156.80,4156.80,,0.56%
2021-06-28,4133.60,4133.60,4133.60,4133.60,,-0.08%
2021-06-25,4137.00,4137.00,4137.00,4137.00,,0.41%
2021-06-24,4120.10,4120.10,4120.10,4120.10,,-0.03%
2021-06-23,4121.40,4121.40,4121.40,4121.40,,1.41%
2021-06-22,4063.90,4063.90,4063.90,4063.90,,1.20%
2021-06-21,4015.70,4015.70,4015.70,4015.70,,0.57%
2021-06-18,3993.00,3993.00,3993.00,3993.00,,-1.49%
2021-06-17,4053.40,4053.40,4053.40,4053.40,,-3.30%
2021-06-16,4191.60,4191.60,4191.60,4191.60,,0.55%
2021-06-15,4168.50,4168.50,4168.50,4168.50,,-2.85%
2021-06-14,4290.60,4290.60,4290.60,4290.60,,0.16%
2021-06-11,4283.90,4283.90,4283.90,4283.90,,0.79%
2021-06-10,4250.30,4250.30,4250.30,4250.30,,-0.48%
2021-06-09,4270.70,4270.70,4270.70,4270.70,,0.22%
2021-06-08,4261.30,4261.30,4261.30,4261.30,,0.89%
2021-06-07,4223.60,4223.60,4223.60,4223.60,,-0.78%
