Date,Price,Open,High,Low,Close,LogReturns,WeeklyReturns,WeeklyVolatility ,,Change %,,,,,,,,,,Vol.
10-01-2018,"10,632.20","10,652.05","10,655.50","10,592.70","10,646.72",-0.000889,,,,-0.05%,,,,,,,,,,181.90M
09-01-2018,"10,637.00","10,645.10","10,659.15","10,603.60","10,658.94",0.001147,,,,0.13%,,,,,,,,,,211.29M
08-01-2018,"10,623.60","10,591.70","10,631.20","10,588.55","10,656.31",-0.000247,,,,0.61%,,,,,,,,,,174.18M
05-01-2018,"10,558.85","10,534.25","10,566.10","10,520.10","10,587.97",-0.006433,,,,0.51%,,,,,,,,,,186.47M
04-01-2018,"10,504.80","10,469.40","10,513.00","10,441.45","10,531.17",-0.00538,-0.011802,0.003340436,,0.59%,,,,,,,,,,180.26M
03-01-2018,"10,443.20","10,482.65","10,503.60","10,429.55","10,483.70",-0.004518,,,,0.01%,,,,,,,,,,172.52M
02-01-2018,"10,442.20","10,477.55","10,495.20","10,404.65","10,483.84",0.000013,,,,0.06%,,,,,,,,,,158.09M
01-01-2018,"10,435.55","10,531.70","10,537.85","10,423.10","10,436.91",-0.004486,,,,-0.90%,,,,,,,,,,134.53M
29-12-2017,"10,530.70","10,492.35","10,538.70","10,488.65","10,544.81",0.010285,,,,0.50%,,,,,,,,,,156.74M
28-12-2017,"10,477.90","10,498.20","10,534.55","10,460.45","10,485.60",-0.005631,-0.004336,0.006600358,,-0.12%,,,,,,,,,,281.31M
27-12-2017,"10,490.75","10,531.05","10,552.40","10,469.25","10,489.98",0.000417,,,,-0.39%,,,,,,,,,,170.31M
26-12-2017,"10,531.50","10,512.30","10,545.45","10,477.95","10,551.20",0.005819,,,,0.37%,,,,,,,,,,160.42M
22-12-2017,"10,493.00","10,457.30","10,501.10","10,448.25","10,509.59",-0.003951,,,,0.50%,,,,,,,,,,143.12M
21-12-2017,"10,440.30","10,473.95","10,473.95","10,426.90","10,469.76",-0.003797,,,,-0.04%,,,,,,,,,,156.65M
20-12-2017,"10,444.20","10,494.40","10,494.45","10,437.15","10,475.51",0.000549,-0.000963,0.004005497,,-0.18%,,,,,,,,,,180.60M
19-12-2017,"10,463.20","10,414.80","10,472.20","10,406.00","10,489.79",0.001362,,,,0.72%,,,,,,,,,,174.34M
18-12-2017,"10,388.75","10,263.10","10,443.55","10,074.80","10,318.52",-0.016462,,,,0.54%,,,,,,,,,,237.51M
15-12-2017,"10,333.25","10,345.65","10,373.10","10,319.65","10,427.38",0.010495,,,,0.79%,,,,,,,,,,262.98M
14-12-2017,"10,252.10","10,229.30","10,276.10","10,141.55","10,288.63",-0.013396,,,,0.58%,,,,,,,,,,159.10M
13-12-2017,"10,192.95","10,236.60","10,296.55","10,169.85","10,189.51",-0.00968,-0.027681,0.01121256,,-0.46%,,,,,,,,,,187.19M
12-12-2017,"10,240.15","10,324.90","10,326.10","10,230.20","10,242.30",0.005167,,,,-0.80%,,,,,,,,,,180.55M
11-12-2017,"10,322.25","10,310.50","10,329.20","10,282.05","10,367.21",0.012121,,,,0.55%,,,,,,,,,,152.04M
08-12-2017,"10,265.65","10,198.45","10,270.85","10,195.25","10,297.37",-0.006759,,,,0.97%,,,,,,,,,,206.23M
07-12-2017,"10,166.70","10,063.45","10,182.65","10,061.90","10,186.22",-0.010853,,,,1.22%,,,,,,,,,,171.34M
06-12-2017,"10,044.10","10,088.80","10,104.20","10,033.35","10,015.15",-0.016937,-0.01726,0.011878336,,-0.73%,,,,,,,,,,171.21M
05-12-2017,"10,118.25","10,118.25","10,147.95","10,069.10","10,109.14",0.009341,,,,-0.09%,,,,,,,,,,160.25M
04-12-2017,"10,127.75","10,175.05","10,179.20","10,095.70","10,181.16",0.007098,,,,0.06%,,,,,,,,,,153.24M
01-12-2017,"10,121.80","10,263.70","10,272.70","10,108.55","10,159.01",-0.002177,,,,-1.02%,,,,,,,,,,147.77M
30-11-2017,"10,226.55","10,332.70","10,332.70","10,211.25","10,198.37",0.003867,,,,-1.30%,,,,,,,,,,353.10M
29-11-2017,"10,361.30","10,376.65","10,392.95","10,345.90","10,367.31",0.016429,0.034559,0.006862989,,-0.09%,,,,,,,,,,157.19M
28-11-2017,"10,370.25","10,387.90","10,409.55","10,355.20","10,358.81",-0.00082,,,,-0.28%,,,,,,,,,,202.05M
27-11-2017,"10,399.55","10,361.05","10,407.15","10,340.20","10,370.37",0.001115,,,,0.09%,,,,,,,,,,146.28M
24-11-2017,"10,389.70","10,366.80","10,404.50","10,362.25","10,408.27",0.003647,,,,0.40%,,,,,,,,,,133.18M
23-11-2017,"10,348.75","10,358.45","10,374.30","10,307.30","10,364.67",-0.004198,,,,0.06%,,,,,,,,,,157.65M
22-11-2017,"10,342.30","10,350.80","10,368.70","10,309.55","10,366.33",0.00016,-0.000095,0.002866433,,0.15%,,,,,,,,,,162.50M
21-11-2017,"10,326.90","10,329.25","10,358.70","10,315.05","10,357.14",-0.000887,,,,0.27%,,,,,,,,,,191.86M
20-11-2017,"10,298.75","10,287.20","10,309.85","10,261.50","10,302.63",-0.005277,,,,0.15%,,,,,,,,,,151.75M
17-11-2017,"10,283.60","10,324.55","10,343.60","10,268.05","10,393.72",0.008803,,,,0.67%,,,,,,,,,,209.59M
16-11-2017,"10,214.75","10,152.90","10,232.25","10,139.20","10,250.37",-0.013889,,,,0.96%,,,,,,,,,,188.18M
15-11-2017,"10,118.05","10,171.95","10,175.45","10,094.00","10,103.80",-0.014402,-0.025651,0.009680409,,-0.67%,,,,,,,,,,213.84M
14-11-2017,"10,186.60","10,223.40","10,248.00","10,175.55","10,184.55",0.007961,,,,-0.38%,,,,,,,,,,314.41M
13-11-2017,"10,224.95","10,322.00","10,334.15","10,216.25","10,224.97",0.003961,,,,-0.94%,,,,,,,,,,216.80M
